Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Parkview Hill,43.70718000000005,-79.31191999999999,Toronto Climbing Academy,43.709362,-79.315006,Rock Climbing Spot
Parkview Hill,43.70718000000005,-79.31191999999999,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
Parkview Hill,43.70718000000005,-79.31191999999999,Muddy York Brewing Co.,43.71236216662408,-79.31201930161387,Brewery
Parkview Hill,43.70718000000005,-79.31191999999999,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
Parkview Hill,43.70718000000005,-79.31191999999999,Peek Freans Cookie Outlet,43.71326033174486,-79.30806318602713,Bakery
Parkview Hill,43.70718000000005,-79.31191999999999,Shoppers Drug Mart,43.705933,-79.312825,Pharmacy
Parkview Hill,43.70718000000005,-79.31191999999999,TD Canada Trust,43.705739883755946,-79.31227013468737,Bank
Parkview Hill,43.70718000000005,-79.31191999999999,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
Parkview Hill,43.70718000000005,-79.31191999999999,Harvey's,43.71096402126402,-79.30908534280502,Fast Food Restaurant
Parkview Hill,43.70718000000005,-79.31191999999999,Tim Hortons,43.7144006072751,-79.30735632777214,Coffee Shop
Parkview Hill,43.70718000000005,-79.31191999999999,Rise & Dine Eatery,43.705769,-79.311638,Breakfast Spot
Parkview Hill,43.70718000000005,-79.31191999999999,91 Woodbine Bus (south),43.7076463787027,-79.31380806795836,Bus Line
Parkview Hill,43.70718000000005,-79.31191999999999,East York Animal Clinic,43.70592051370348,-79.3121958344716,Pet Store
Parkview Hill,43.70718000000005,-79.31191999999999,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
Parkview Hill,43.70718000000005,-79.31191999999999,St. Clair Ave E & O'Connor Dr,43.70523283448301,-79.31327432821826,Intersection
Parkview Hill,43.70718000000005,-79.31191999999999,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891099,Athletics & Sports
Parkview Hill,43.70718000000005,-79.31191999999999,City Sports Centre,43.71076403259862,-79.31659226901981,Soccer Stadium
Parkview Hill,43.70718000000005,-79.31191999999999,Dine.TO,43.71463856518455,-79.31554900448066,Office
Parkview Hill,43.70718000000005,-79.31191999999999,StrengthBox,43.715340142096565,-79.30878110509519,Gym / Fitness Center
Woodbine Heights,43.689700000000066,-79.30681999999996,Hollandaise Diner,43.68652710817421,-79.3088972568512,Breakfast Spot
Woodbine Heights,43.689700000000066,-79.30681999999996,Press Books Coffee Vinyl,43.687672,-79.304457,Coffee Shop
Woodbine Heights,43.689700000000066,-79.30681999999996,Taylor Creek Park,43.696598682480385,-79.30669312122465,Park
Woodbine Heights,43.689700000000066,-79.30681999999996,Relish Bar & Grill,43.686280136535885,-79.31097995826282,Bar
Woodbine Heights,43.689700000000066,-79.30681999999996,Royal Beef,43.685325126021965,-79.31498171235116,Butcher
Woodbine Heights,43.689700000000066,-79.30681999999996,Ted Reeve Arena,43.68452712511952,-79.29942632833531,Skating Rink
Woodbine Heights,43.689700000000066,-79.30681999999996,Diamond Pizza,43.694693,-79.304883,Pizza Place
Woodbine Heights,43.689700000000066,-79.30681999999996,Duckworth's Fish and Chips,43.68862851126605,-79.29995229254888,Fish & Chips Shop
Woodbine Heights,43.689700000000066,-79.30681999999996,Beach Hill Smokehouse,43.684105,-79.30041,BBQ Joint
Woodbine Heights,43.689700000000066,-79.30681999999996,Old's Cool General Store,43.694483,-79.30846,Convenience Store
Woodbine Heights,43.689700000000066,-79.30681999999996,St. Clair Ice Cream,43.6895549178628,-79.2950373031766,Ice Cream Shop
Woodbine Heights,43.689700000000066,-79.30681999999996,East Lynn Park,43.684055,-79.315113,Playground
Woodbine Heights,43.689700000000066,-79.30681999999996,Happy Sushi,43.68600806000232,-79.31127520072712,Sushi Restaurant
Woodbine Heights,43.689700000000066,-79.30681999999996,Cool Runnings,43.68349688997171,-79.30001696869618,Caribbean Restaurant
Woodbine Heights,43.689700000000066,-79.30681999999996,Celena's Bakery,43.685392752671284,-79.31416165735217,Bakery
Woodbine Heights,43.689700000000066,-79.30681999999996,Shoppers Drug Mart,43.687934,-79.303381,Pharmacy
Woodbine Heights,43.689700000000066,-79.30681999999996,Thai Room,43.68560497061049,-79.31321306868954,Thai Restaurant
Woodbine Heights,43.689700000000066,-79.30681999999996,Sultan Shawarma & Falafel,43.68822334940596,-79.30170939352254,Middle Eastern Restaurant
Woodbine Heights,43.689700000000066,-79.30681999999996,Grinder,43.68307273557906,-79.2998748093593,Coffee Shop
Woodbine Heights,43.689700000000066,-79.30681999999996,Zav Coffee Shop & Gallery,43.68551803991472,-79.31387285041357,Coffee Shop
Woodbine Heights,43.689700000000066,-79.30681999999996,Danforth GO Station,43.686458009778526,-79.30020416675752,Train Station
Woodbine Heights,43.689700000000066,-79.30681999999996,Petro-Canada,43.686556,-79.308184,Gas Station
Woodbine Heights,43.689700000000066,-79.30681999999996,Dentonia Park,43.69280900665042,-79.29553269784155,Park
Woodbine Heights,43.689700000000066,-79.30681999999996,Subway,43.68817795389521,-79.30025317075166,Sandwich Place
