Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Regent Park,43.65512000000007,-79.36263999999993,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
Regent Park,43.65512000000007,-79.36263999999993,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
Regent Park,43.65512000000007,-79.36263999999993,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
Regent Park,43.65512000000007,-79.36263999999993,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
Regent Park,43.65512000000007,-79.36263999999993,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
Regent Park,43.65512000000007,-79.36263999999993,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
Regent Park,43.65512000000007,-79.36263999999993,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
Regent Park,43.65512000000007,-79.36263999999993,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
Regent Park,43.65512000000007,-79.36263999999993,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
Regent Park,43.65512000000007,-79.36263999999993,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
Regent Park,43.65512000000007,-79.36263999999993,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
Regent Park,43.65512000000007,-79.36263999999993,Starbucks,43.651613,-79.364917,Coffee Shop
Regent Park,43.65512000000007,-79.36263999999993,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347,Italian Restaurant
Regent Park,43.65512000000007,-79.36263999999993,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
Regent Park,43.65512000000007,-79.36263999999993,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
Regent Park,43.65512000000007,-79.36263999999993,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
Regent Park,43.65512000000007,-79.36263999999993,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
Regent Park,43.65512000000007,-79.36263999999993,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
Regent Park,43.65512000000007,-79.36263999999993,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
Regent Park,43.65512000000007,-79.36263999999993,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
Queen's Park,43.66253000000007,-79.39187999999996,Queen's Park,43.66394609897775,-79.39217952520835,Park
Queen's Park,43.66253000000007,-79.39187999999996,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
