PostalCode,Borough,Neighbourhood,latitude,longitude
M3A,North York,Parkwoods,43.75245000000007,-79.32990999999998
M4A,North York,Victoria Village,43.73057000000006,-79.31305999999995
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.65512000000007,-79.36263999999994
M6A,North York,"Lawrence Manor, Lawrence Heights",43.72327000000007,-79.45041999999995
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.66253000000006,-79.39187999999996
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.662630000000036,-79.52830999999998
M1B,Scarborough,"Malvern, Rouge",43.811390000000074,-79.19661999999994
M3B,North York,Don Mills,43.74923000000007,-79.36185999999998
M4B,East York,"Parkview Hill, Woodbine Gardens",43.70718000000005,-79.31191999999999
M5B,Downtown Toronto,"Garden District, Ryerson",43.65739000000008,-79.37803999999994
M6B,North York,Glencairn,43.70687000000004,-79.44811999999996
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.65034000000003,-79.55361999999997
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.78574000000003,-79.15874999999994
M3C,North York,Don Mills,43.72168000000005,-79.34351999999996
M4C,East York,Woodbine Heights,43.68970000000007,-79.30681999999996
M5C,Downtown Toronto,St. James Town,43.65215000000006,-79.37586999999996
M6C,York,Humewood-Cedarvale,43.69211000000007,-79.43035999999995
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.64857000000006,-79.57824999999997
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.765750000000025,-79.17469999999997
M4E,East Toronto,The Beaches,43.67709000000008,-79.29546999999997
M5E,Downtown Toronto,Berczy Park,43.64536000000004,-79.37305999999995
M6E,York,Caledonia-Fairbanks,43.68784000000005,-79.45045999999996
M1G,Scarborough,Woburn,43.76812000000007,-79.21760999999998
M4G,East York,Leaside,43.709020000000066,-79.36348999999996
M5G,Downtown Toronto,Central Bay Street,43.65609000000006,-79.38492999999994
M6G,Downtown Toronto,Christie,43.668690000000026,-79.42070999999999
M1H,Scarborough,Cedarbrae,43.76944000000003,-79.23891999999995
M2H,North York,Hillcrest Village,43.80225000000007,-79.35557999999997
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.75788000000006,-79.44846999999999
M4H,East York,Thorncliffe Park,43.70142000000004,-79.34904999999998
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.64970000000005,-79.38257999999996
M6H,West Toronto,"Dufferin, Dovercourt Village",43.665050000000065,-79.43890999999996
M1J,Scarborough,Scarborough Village,43.74446000000006,-79.23116999999996
M2J,North York,"Fairview, Henry Farm, Oriole",43.780970000000025,-79.34780999999998
M3J,North York,"Northwood Park, York University",43.76476000000008,-79.48797999999994
M4J,East York,"East Toronto, Broadview North (Old East York)",43.68811000000005,-79.33417999999995
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.64285000000007,-79.38075999999995
M6J,West Toronto,"Little Portugal, Trinity",43.64848000000006,-79.41773999999998
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.725820000000056,-79.26460999999995
M2K,North York,Bayview Village,43.781120000000044,-79.38059999999996
M3K,North York,Downsview,43.73384000000004,-79.46827999999994
M4K,East Toronto,"The Danforth West, Riverdale",43.68375000000003,-79.35511999999994
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.64710000000008,-79.38152999999994
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639410000000055,-79.42675999999994
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.71289000000007,-79.28505999999999
